А,1287
Б,1753
В,549
Г,1044
П,1858
Д,800
Е,105
Ё,2
О,835
Ж,422
Я,224
З,664
И,366
Й,4
К,2410
С,1901
Л,732
М,1348
Н,495
Р,607
Т,1048
У,280
Ф,200
Х,296
Ц,240
Ч,727
Ш,289
Щ,160
Э,234
Ю,146
